Cluster,Date,Avg_Sum_Produce
2,2012-03,317544.271470588
2,2012-04,310491.773823529
2,2012-05,358407.295882353
2,2012-06,353471.958529412
2,2012-07,351614.287647059
2,2012-08,329617.507058823
2,2012-09,283346.563529412
2,2012-10,272041.179117647
2,2012-11,274783.637352941
2,2012-12,271736.054117647
2,2013-01,258000.793823529
2,2013-02,249091.256470588
2,2013-03,283102.381470588
2,2013-04,272448.030882353
2,2013-05,286674.417647059
2,2013-06,307471.495294118
2,2013-07,332329.83
2,2013-08,284702.115
2,2013-09,264096.271142857
2,2013-10,244481.260285714
2,2013-11,255754.724571429
2,2013-12,259177.532857143
2,2014-01,279116.854857143
2,2014-02,261447.538571429
2,2014-03,292170.927647059
2,2014-04,287158.501764706
2,2014-05,325393.098235294
2,2014-06,307105.910571429
2,2014-07,299440.704
2,2014-08,282404.927352941
2,2014-09,242522.123529412
2,2014-10,255502.859705882
2,2014-11,252822.005882353
2,2014-12,243965.072352941
2,2015-01,245880.972285714
2,2015-02,241483.541428571
2,2015-03,297337.878
2,2015-04,272140.436571429
2,2015-05,320440.891142857
2,2015-06,340433.584857143
