Cluster,Date,Avg_Sum_Produce
1,2012-03,291606.651666667
1,2012-04,279029.90375
1,2012-05,315221.33875
1,2012-06,323170.302916667
1,2012-07,318991.344166667
1,2012-08,279811.44375
1,2012-09,234728.95
1,2012-10,228025.229166667
1,2012-11,237669.875416667
1,2012-12,247541.097916667
1,2013-01,214213.789166667
1,2013-02,213134.795833333
1,2013-03,247453.402916667
1,2013-04,230860.662083333
1,2013-05,244902.4088
1,2013-06,266061.7908
1,2013-07,290093.7632
1,2013-08,239320.9364
1,2013-09,225166.2928
1,2013-10,200673.9472
1,2013-11,215703.2552
1,2013-12,235704.6284
1,2014-01,237274.0308
1,2014-02,223299.7556
1,2014-03,245465.4484
1,2014-04,232030.5256
1,2014-05,274674.0432
1,2014-06,258313.1632
1,2014-07,255109.6348
1,2014-08,226111.4984
1,2014-09,188267.8312
1,2014-10,198596.4396
1,2014-11,200033.1456
1,2014-12,204215.292
1,2015-01,213645.8596
1,2015-02,210380.2076
1,2015-03,263924.648
1,2015-04,215485.4676
1,2015-05,266815.5064
1,2015-06,276445.7032
